,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
数字,相关,整除,猜,斜杠,反,字母,符号,输入,标识符,任何,转义,空格,下划线,请,等价,右边,八进制,任意,十六进制,数,格式化,计算,测验,字符串,前面,但,让,幂,表示,条件,原始,表达式,它们,按位,缩进,除了,位,循环,匹配,一行,字符,除法,型,运算,操作符,判断,查找,非,变量值,块,年
数字,向量值,0.771902322769165,0.7517992854118347,0.7240889072418213,0.6984618902206421,0.6681969165802002,0.6612839698791504,0.6460119485855103,0.6429871916770935,0.6348544955253601,0.6297482848167419,0.6100350022315979,0.602522075176239,0.5993345975875854,0.5978295803070068,0.5926392078399658,0.5826744437217712,0.5807318091392517,0.5701905488967896,0.5689073204994202,0.5596146583557129,0.5564286708831787,0.546173095703125,0.5409395694732666,0.5383297801017761,0.5382035374641418,0.5284667015075684,0.5283620357513428,0.5214030146598816,0.5200915336608887,0.5062188506126404,0.5055932402610779,0.5031883120536804,0.49444055557250977,0.49442362785339355,0.4916071891784668,0.48349955677986145,0.4796504080295563,0.47959598898887634,0.4787828326225281,0.4780789613723755,0.47187334299087524,0.4689631164073944,0.46798285841941833,0.46431395411491394,0.46392208337783813,0.45813828706741333,0.4577532708644867,0.45588529109954834,0.4528278112411499,0.45148685574531555
字符串,相关,长度,字符,空格,换行符,分组,截取,原始,索引,子串,最后,末尾,表示,任意,代表,下标,起始,格式化,一行,位置,等价,八进制,个字符,换行,开始,匹配,整个,符号,替换,月,年,第二个,星期,第一个,是从,计算,格式,数,右边,十六进制,正则表达式,特殊,次数,第三个,且,反,数字,重复,斜杠,按照,以
字符串,向量值,0.8449746370315552,0.8181244730949402,0.7929155230522156,0.7139622569084167,0.7104366421699524,0.7046933770179749,0.6979857683181763,0.6975734233856201,0.6974368691444397,0.696353018283844,0.693639874458313,0.6927515268325806,0.6883418560028076,0.686551034450531,0.6786994338035583,0.6699392795562744,0.6529229879379272,0.6468350291252136,0.6445168256759644,0.6404542922973633,0.6356220245361328,0.6345896124839783,0.6336957216262817,0.6324856877326965,0.6226221919059753,0.6219460964202881,0.618249237537384,0.6061103940010071,0.6051172614097595,0.5974538922309875,0.5955914258956909,0.5953465700149536,0.5948445796966553,0.586166262626648,0.5855218172073364,0.581886351108551,0.5785091519355774,0.5773115158081055,0.5590565204620361,0.5538172125816345,0.5516031384468079,0.5491947531700134,0.5468559861183167,0.5451287031173706,0.5444809198379517,0.5409395098686218,0.540729820728302,0.5398872494697571,0.5395897030830383,0.5388578176498413
列表,相关,元素,元组,重复,逗号,序列,索引,集合,一样,截取,移除,推导,式,方括号,嵌套,某个,且,需,数据结构,计算,变,不可,可变,不,给定,下标,个,添加,末尾,第三个,中,字典,键值,最后,另外,操作符,类似,成员,随机,确定,从,里,每个,原始,最,删除,用,键,基本,次数,内
列表,向量值,0.9020611643791199,0.8972849249839783,0.8338085412979126,0.8155064582824707,0.779715359210968,0.7496663331985474,0.7483443021774292,0.7207008004188538,0.7158576846122742,0.7137932777404785,0.7101305723190308,0.7020931839942932,0.6850500106811523,0.6624353528022766,0.6384838223457336,0.6176196336746216,0.6115185022354126,0.6064552664756775,0.6042388081550598,0.6025189161300659,0.5937443971633911,0.5902541279792786,0.5891785025596619,0.5835281610488892,0.5792230367660522,0.574250340461731,0.5715426802635193,0.5667081475257874,0.5657432079315186,0.5619034767150879,0.5599493980407715,0.5547018051147461,0.5489371418952942,0.545504093170166,0.534147322177887,0.5292959213256836,0.5247095823287964,0.5188159942626953,0.5106515884399414,0.5101426839828491,0.5073504447937012,0.5067678093910217,0.5008559226989746,0.5002831816673279,0.49630001187324524,0.4912203550338745,0.4899653494358063,0.48683252930641174,0.48344025015830994,0.4745127856731415
元组,相关,列表,逗号,元素,序列,索引,重复,变,不可,可变,截取,一样,且,方括号,字典,数据结构,式,推导,计算,集合,移除,个,键值,随机,需,下标,序号,某个,末尾,嵌套,第三个,最,夏令时,类似,操作符,最后,迭代,给定,分隔,改变,空,用,每个,相当于,数值,内,作为,只是,之间,生成器,长度
元组,向量值,0.8972849249839783,0.8308337330818176,0.8208630681037903,0.8163928389549255,0.7577505111694336,0.7515047788619995,0.7503796815872192,0.7401047945022583,0.7167351245880127,0.7009367346763611,0.6819689869880676,0.6760278344154358,0.672471284866333,0.6480397582054138,0.6364403367042542,0.6299846768379211,0.6290150880813599,0.624943196773529,0.6120681166648865,0.6025997400283813,0.5983118414878845,0.595544159412384,0.5906971096992493,0.5849347710609436,0.574260413646698,0.574079155921936,0.565299391746521,0.5651949048042297,0.5641503930091858,0.5627521872520447,0.5606793761253357,0.559161365032196,0.5497727990150452,0.548992931842804,0.5470339059829712,0.5458188652992249,0.5457937717437744,0.5401957035064697,0.5203718543052673,0.5170964002609253,0.516392707824707,0.5161697268486023,0.5007781386375427,0.4987920820713043,0.49464672803878784,0.49285030364990234,0.4918804168701172,0.48180481791496277,0.4745801091194153,0.4713757336139679
集合,相关,移除,元素,重复,序列,列表,不,字典,需,元组,式,且,推导,判断,键值,随机,确定,添加,不可,逗号,空,变,数据结构,可变,键,中,基本,对,是否,另外,次数,才,截取,计算,指定,引用,某个,方括号,及,删除,同一个,存在,类似,给定,索引,嵌套,查找,找到,数列,成员,注意
集合,向量值,0.8678063750267029,0.8162912130355835,0.7917769551277161,0.7587004899978638,0.7483443021774292,0.6372747421264648,0.6346957683563232,0.6141828894615173,0.6120679974555969,0.6091908812522888,0.6059640645980835,0.6024966239929199,0.6008917093276978,0.594913125038147,0.5874860286712646,0.5864904522895813,0.5859920382499695,0.5853578448295593,0.5818125605583191,0.5769852995872498,0.5762627124786377,0.5734992623329163,0.568640947341919,0.5643179416656494,0.5609298944473267,0.5360825657844543,0.5288572907447815,0.5236619710922241,0.5235450863838196,0.5193430185317993,0.5181342959403992,0.5176784992218018,0.5149083137512207,0.5073611736297607,0.5022320747375488,0.501838207244873,0.49723437428474426,0.4948866665363312,0.48805105686187744,0.48702892661094666,0.4832681119441986,0.47722557187080383,0.47486501932144165,0.46602746844291687,0.4648691415786743,0.46062180399894714,0.4602735638618469,0.4566352367401123,0.4524962306022644,0.4507428705692291
字典,相关,键值,变,键,不可,空,数据结构,可变,式,方括号,推导,元组,序列,集合,对,同一个,基本,类型,且,元素,逗号,指向,需,列表,进行,作为,用,迭代,下标,里,数据类型,截取,重复,某个,索引,删除,移除,引用,格式,对象,自动,另外,Python3,关键字,必须,头,器,用来,创建,类型转换,内置
字典,向量值,0.8576837778091431,0.8209426403045654,0.7849811315536499,0.7762497067451477,0.6877136826515198,0.6863674521446228,0.6834987998008728,0.6648616194725037,0.6634426712989807,0.6585263609886169,0.648039698600769,0.6373423933982849,0.6346957683563232,0.6325446367263794,0.6113218665122986,0.6054104566574097,0.5928613543510437,0.5902306437492371,0.5853139758110046,0.583970308303833,0.5825873613357544,0.5720683932304382,0.5599494576454163,0.54078608751297,0.5194774270057678,0.5078636407852173,0.5057485699653625,0.5054222345352173,0.5025792717933655,0.49869951605796814,0.49834880232810974,0.4980213940143585,0.481179416179657,0.479430228471756,0.4736582338809967,0.47333428263664246,0.47223061323165894,0.4710098206996918,0.4667590260505676,0.46303892135620117,0.4613792896270752,0.4551435708999634,0.45158860087394714,0.4513566195964813,0.44710850715637207,0.44404271245002747,0.4431658685207367,0.4405585825443268,0.44046714901924133,0.4389305114746094
