,key,value
0,实例,0.28124534822429037
1,字符串,0.1563829702660334
2,返回,0.14999270808900864
3,文件,0.1332159181859774
4,函数,0.12180856524104738
5,模块,0.11842345211892685
6,输出,0.11447426046376387
7,使用,0.11054234765314383
8,列表,0.10743945821148931
9,语句,0.08422909134551977
10,元组,0.08302851855940405
11,方法,0.07930012510145626
12,参数,0.07639802023376835
13,结果,0.07617590415976812
14,匹配,0.0732521546124297
15,元素,0.070912597961342
16,对象,0.07070591252438221
17,线程,0.06829765236338076
18,创建,0.06484666355877618
19,执行,0.06475186524186849
20,运算符,0.06361866363506218
21,字典,0.055142971088431726
22,代码,0.05344466703256749
23,字符,0.04787288185549737
24,指定,0.047176404838333144
25,菜鸟,0.0440595577085247
26,包含,0.043068389217543405
27,数据库,0.04295217366434524
28,值为,0.04285342893388596
29,格式,0.041626043196065866
30,教程,0.041056107596042904
31,集合,0.0397619460522908
32,导入,0.03910109344380867
33,表达式,0.03761702710267391
34,定义,0.03747198523184777
35,数字,0.03663085562114652
36,删除,0.03530983911784698
37,打开,0.03397717793810911
38,邮件,0.03356698721982693
39,数据,0.03267197909508121
40,Python3,0.03214007170041447
41,用于,0.03194795058789067
42,语法,0.031931621628913415
43,访问,0.031159056297534446
44,数据类型,0.03097937651380643
45,程序,0.030858906074065755
46,转换,0.03062786193234905
47,发送,0.030565246408043017
48,读取,0.029868242517472835
49,安装,0.028906241949422536
50,索引,0.02808446764293828
51,内容,0.02731919573307662
52,类型,0.027207094460157386
53,修改,0.02685825521165677
54,连接,0.026778403957670553
55,整数,0.02559669283743923
56,关键字,0.025563911547420746
57,迭代,0.025284112336624844
58,默认,0.025282396319101043
59,脚本,0.025124863465603227
60,输入,0.02451709026586647
61,存在,0.024063409732912516
62,赋值,0.024008007226351515
63,格式化,0.02389217955138904
64,序列,0.022917555471054108
65,目录,0.02291218997023412
66,请求,0.022715365206524587
67,服务器,0.02266818500819536
68,描述,0.02239128305158508
69,需要,0.02214337059250028
70,属性,0.02184991045742579
71,路径,0.021740087929567605
72,内置,0.02121745136840484
73,子类,0.020794213931651172
74,例如,0.020758232899185616
75,子句,0.02075712963985101
76,操作,0.020364186334906463
77,字母,0.02030025481468578
78,位置,0.020023651339580485
79,错误,0.019999332904637616
80,浮点数,0.01962600717739442
81,模式,0.019590549956288787
82,添加,0.019384139823266495
83,环境变量,0.019218324313386353
84,是否,0.01909304339691946
85,信息,0.018833151357526605
86,作用域,0.018643088352514846
87,表示,0.018630190242024197
88,写入,0.018581632097553487
89,推导,0.018302426969746276
90,提供,0.017840407562594376
91,版本,0.0178353198502106
92,获取,0.017823428107060602
93,开始,0.017659472547288002
94,名称,0.01726066811936821
95,运行,0.01722775369346253
96,处理,0.016971430313216088
97,描述符,0.01695249162993167
98,演示,0.016829516111499944
99,文档,0.016783893771507786
100,类型转换,0.016739620677299203
101,时间,0.016680093713990145
102,邮箱,0.016192265517993167
103,二进制,0.01612978528140361
104,所示,0.01612256475798309
105,解释器,0.016106730115380306
106,查看,0.016103330237033718
107,接字,0.016070035850207234
108,命名,0.015527919753713454
109,截取,0.015151138252100368
110,浏览器,0.014593241018438445
111,插入,0.014591060391345357
112,没有,0.014470950818161195
113,生成,0.014441224934469588
114,调用函数,0.014340837194242189
115,注释,0.014261497208739777
116,进行,0.01419538960800717
117,注意,0.01404489171892181
118,判断,0.013941762759763079
119,开头,0.013835633829978156
120,移除,0.01376861178391397
121,地址,0.01375094279982973
122,浮点,0.013529653296919457
123,语言,0.01346344826881707
124,支持,0.013365094434337404
125,斜杠,0.01331553424919906
126,数据表,0.013235774621037304
127,命令,0.01280692222011426
128,父类,0.012722111714747394
129,关闭,0.012676432269270751
130,用户,0.012227778330762855
131,记录,0.011992890750643553
132,指针,0.011936642728030133
133,接收,0.011887390053570068
134,等于,0.011695614426293268
135,括号,0.011554046396856168
136,例子,0.011509908585576342
137,计算,0.011288385059684106
138,形式,0.011253850561487621
139,打印,0.011130650995308616
140,给定,0.011084287174744033
141,方式,0.011026166993624398
142,编码,0.010979354286680855
143,键值,0.010900049687913074
144,标识,0.01077932470455808
145,空格,0.010750098083085021
146,形参,0.01071335723347149
147,引入,0.010712805412079087
148,权限,0.01068939629896494
149,功能,0.010496262145695084
150,转义,0.01043577510391229
151,类似,0.010374074011002576
152,网页,0.010143013677085807
153,命令行,0.01011890131233337
154,读写,0.009966043329646016
155,查询,0.009949753891632128
156,编程,0.009920702562212388
157,排序,0.00971602260124846
158,响应,0.009668677564623054
159,长度,0.009660365796442255
160,说明,0.009647827293361713
161,搜索,0.009622211891504424
162,用来,0.009532998026963706
163,查找,0.009511921787821218
164,不能,0.009386519718214404
165,引用,0.00923922526573709
166,章节,0.009190495181405288
167,空间,0.009163984728335387
168,队列,0.009099743918003809
169,标准,0.009094603018309623
170,抛出,0.009062813330044248
171,条件,0.00904851004374482
172,发生,0.009012607671737425
173,返回值,0.008974293010333818
174,传入,0.008946882491279265
175,复数,0.008940680434234346
176,传递,0.008908133986211493
177,文件夹,0.008849598259773722
178,替换,0.008845962344427019
179,换行符,0.008830664529718832
180,换行,0.008821115943458047
181,解析器,0.008704602752195586
182,子串,0.008667938876582277
183,小于,0.008636671816301109
184,比如,0.008534936597638624
185,表单,0.008521613642309847
186,提交,0.008428308170807662
187,部分,0.008399091152645905
188,实现,0.008382175918610955
189,八进制,0.008137270930066092
190,继承,0.00813621631722191
191,结尾,0.00813026899488742
192,结束,0.008071804596958106
193,标志,0.00799980358652907
194,弧度,0.007950749720409992
195,放在,0.007916197050991374
196,逗号,0.007807444252313206
197,空行,0.007777720608955975
198,退出,0.007759454437598298
199,报错,0.0077102171054049505
